ticket_id,order_id,comment_text,sentiment
1,1730,"I want to return the bench, it's too big for my room.",Neutral
2,1349,The weight plates are missing from the package.,Positive
3,1604,Is this bench compatible with the PRO rack?,Negative
4,1648,"Amazing service, very fast response!",Positive
5,1335,Where is my order? It's been 10 days.,Negative
6,1250,"Amazing service, very fast response!",Positive
7,1778,"Amazing service, very fast response!",Positive
8,1928,"I want to return the bench, it's too big for my room.",Positive
9,2187,My dumbbells arrived but they are scratched.,Negative
10,2033,"Delivery was late, but the product quality is amazing.",Negative
11,1280,Instruction manual is missing pages 4 and 5.,Positive
12,1909,The weight plates are missing from the package.,Positive
13,1311,My dumbbells arrived but they are scratched.,Negative
14,1455,"Amazing service, very fast response!",Neutral
15,2077,"Amazing service, very fast response!",Neutral
16,1757,"Amazing service, very fast response!",Neutral
17,1944,Instruction manual is missing pages 4 and 5.,Positive
18,2040,Where is my order? It's been 10 days.,Neutral
19,1538,The weight plates are missing from the package.,Positive
20,1542,"Amazing service, very fast response!",Negative
21,1235,Is this bench compatible with the PRO rack?,Negative
22,1226,Instruction manual is missing pages 4 and 5.,Neutral
23,2059,My dumbbells arrived but they are scratched.,Negative
24,2044,The assembly instructions for the rack are very confusing.,Neutral
25,1788,My dumbbells arrived but they are scratched.,Neutral
26,1688,"Delivery was late, but the product quality is amazing.",Negative
27,1621,My dumbbells arrived but they are scratched.,Negative
28,1805,Can't track my shipping number on the website.,Negative
29,1792,"Delivery was late, but the product quality is amazing.",Negative
30,1168,Is this bench compatible with the PRO rack?,Negative
31,2024,Instruction manual is missing pages 4 and 5.,Positive
32,1954,Is this bench compatible with the PRO rack?,Positive
33,1505,Is this bench compatible with the PRO rack?,Negative
34,1001,Instruction manual is missing pages 4 and 5.,Neutral
35,1233,My dumbbells arrived but they are scratched.,Neutral
36,1453,Instruction manual is missing pages 4 and 5.,Positive
37,1376,The assembly instructions for the rack are very confusing.,Neutral
38,1505,"I want to return the bench, it's too big for my room.",Neutral
39,1709,Instruction manual is missing pages 4 and 5.,Positive
40,1617,"Delivery was late, but the product quality is amazing.",Positive
41,1821,"I want to return the bench, it's too big for my room.",Neutral
42,1184,Where is my order? It's been 10 days.,Positive
43,1636,Can't track my shipping number on the website.,Negative
44,1074,Is this bench compatible with the PRO rack?,Negative
45,1006,"Delivery was late, but the product quality is amazing.",Negative
46,2031,"Amazing service, very fast response!",Positive
47,2054,Can't track my shipping number on the website.,Negative
48,1687,Instruction manual is missing pages 4 and 5.,Negative
49,1133,Is this bench compatible with the PRO rack?,Positive
50,1832,The assembly instructions for the rack are very confusing.,Neutral
51,1351,Where is my order? It's been 10 days.,Negative
52,1021,"Delivery was late, but the product quality is amazing.",Positive
53,1671,Is this bench compatible with the PRO rack?,Negative
54,1038,The assembly instructions for the rack are very confusing.,Negative
55,1942,"Delivery was late, but the product quality is amazing.",Neutral
56,1575,"Amazing service, very fast response!",Neutral
57,1198,The weight plates are missing from the package.,Negative
58,1121,"I want to return the bench, it's too big for my room.",Neutral
59,1008,Where is my order? It's been 10 days.,Neutral
60,1761,The assembly instructions for the rack are very confusing.,Negative
61,1483,The assembly instructions for the rack are very confusing.,Positive
62,1912,My dumbbells arrived but they are scratched.,Neutral
63,1202,"Delivery was late, but the product quality is amazing.",Positive
64,1579,Where is my order? It's been 10 days.,Negative
65,1035,"Delivery was late, but the product quality is amazing.",Neutral
66,2195,"Delivery was late, but the product quality is amazing.",Neutral
67,1552,Instruction manual is missing pages 4 and 5.,Positive
68,1812,Is this bench compatible with the PRO rack?,Neutral
69,1723,Can't track my shipping number on the website.,Positive
70,2057,Can't track my shipping number on the website.,Positive
71,1153,Instruction manual is missing pages 4 and 5.,Neutral
72,2200,My dumbbells arrived but they are scratched.,Positive
73,1502,"Amazing service, very fast response!",Positive
74,2044,Is this bench compatible with the PRO rack?,Positive
75,2067,Is this bench compatible with the PRO rack?,Neutral
76,1950,"I want to return the bench, it's too big for my room.",Negative
77,1497,Instruction manual is missing pages 4 and 5.,Negative
78,1818,The assembly instructions for the rack are very confusing.,Positive
79,1367,My dumbbells arrived but they are scratched.,Neutral
80,1613,"Delivery was late, but the product quality is amazing.",Negative
81,1528,"Delivery was late, but the product quality is amazing.",Positive
82,1360,Can't track my shipping number on the website.,Negative
83,1513,Where is my order? It's been 10 days.,Negative
84,1455,Can't track my shipping number on the website.,Neutral
85,1414,My dumbbells arrived but they are scratched.,Neutral
86,2003,"Amazing service, very fast response!",Negative
87,2111,Can't track my shipping number on the website.,Positive
88,1596,"Amazing service, very fast response!",Positive
89,1956,"Amazing service, very fast response!",Negative
90,1998,Instruction manual is missing pages 4 and 5.,Negative
91,1636,Where is my order? It's been 10 days.,Negative
92,1260,Instruction manual is missing pages 4 and 5.,Neutral
93,1467,"Delivery was late, but the product quality is amazing.",Neutral
94,1919,"I want to return the bench, it's too big for my room.",Positive
95,1761,"Amazing service, very fast response!",Negative
96,1333,Where is my order? It's been 10 days.,Negative
97,1270,The weight plates are missing from the package.,Negative
98,1104,"Amazing service, very fast response!",Positive
99,1343,The assembly instructions for the rack are very confusing.,Positive
100,1048,My dumbbells arrived but they are scratched.,Negative
101,1046,Where is my order? It's been 10 days.,Positive
102,2011,The weight plates are missing from the package.,Negative
103,1366,Instruction manual is missing pages 4 and 5.,Neutral
104,1108,"I want to return the bench, it's too big for my room.",Positive
105,1117,Where is my order? It's been 10 days.,Negative
106,2102,Where is my order? It's been 10 days.,Positive
107,1864,The weight plates are missing from the package.,Positive
108,1446,The assembly instructions for the rack are very confusing.,Positive
109,2055,"Delivery was late, but the product quality is amazing.",Negative
